DRGCode,DRGDef,providertracking,providername,ProviderStreet,cityname,st_abrev,ProviderZip,HospitalReferralRegion,Discharges,AverageCoveredCharges,AverageTotalPayments
377,G.I. HEMORRHAGE W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,11,33465.63636,13508.09091
378,G.I. HEMORRHAGE W CC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,28,25469.21429,8667.714286
379,G.I. HEMORRHAGE W/O CC/MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,13,22142.69231,6256.230769
391,ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,11,30970.45455,9842.181818
392,ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,66,22024.92424,6209.045455
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,22,58691.36364,14366.68182
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,12,49208.41667,9988.833333
470,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,75,67111.77333,17112.10667
552,MEDICAL BACK PROBLEMS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,24,24351.29167,7314.666667
603,CELLULITIS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,32,18572.5625,7071.40625
638,DIABETES W CC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,31,21422.96774,6896.83871
640,MISC DISORDERS OF NUTRITION METABOLISM FLUIDS/ELECTROLYTES W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,38,28434.97368,9668.368421
641,MISC DISORDERS OF NUTRITION METABOLISM FLUIDS/ELECTROLYTES W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,46,18786.65217,6029
682,RENAL FAILURE W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,20,36142.85,13931.65
683,RENAL FAILURE W CC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,35,32615.94286,8823.914286
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,45,23116.28889,6739.933333
811,RED BLOOD CELL DISORDERS W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,14,41318.07143,10577.64286
812,RED BLOOD CELL DISORDERS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,47,21552.70213,6909.553191
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,31,102791.3226,41893.22581
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,95,50869.87368,16061.09474
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,25,34518.56,10184.48
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,13,18476.61538,5257.923077
948,SIGNS & SYMPTOMS W/O MCC,140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park,18,19840.11111,5812.888889
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,140051,SKOKIE HOSPITAL,9600 GROSS POINT ROAD,SKOKIE,IL,60076,IL - Evanston,20,18576.25,6762.25
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,140051,SKOKIE HOSPITAL,9600 GROSS POINT ROAD,SKOKIE,IL,60076,IL - Evanston,13,34538.30769,12301.92308
